make,model,modelcode,bodytype,yearfrom,yearto,enginesizecc,fueltype,fobvalue,customsvalue,importduty,exciseduty,vat,infrastructurelevy,environmentallevy,withholdingtax,registrationfee,totaltaxugx
Toyota,Wish,ZGE 20,Wagon,2009,2017,1800,Petrol,15000000,16500000,5280000,3630000,4474200,0,0,0,0,13384200
Suzuki,Swift,ACU 30,Hatchback,2010,2016,3500,Petrol,8000000,8800000,2816000,1936000,2386560,0,0,0,0,7138560
Toyota,Harrier,ACU 30,SUV,2010,2013,3500,Petrol,18000000,19800000,6336000,4356000,5367840,0,0,0,0,16059840
Honda,CR-V,RE4,SUV,2007,2011,2400,Petrol,12000000,13200000,4224000,2904000,3577920,0,0,0,0,10705920
Nissan,X-Trail,T31,SUV,2008,2013,2000,Petrol,10000000,11000000,3520000,2420000,2982400,0,0,0,0,8922400
Subaru,Forester,SH5,SUV,2008,2012,2500,Petrol,13000000,14300000,4576000,3146000,3876480,0,0,0,0,11598480
Toyota,RAV4,ACA31,SUV,2006,2012,2400,Petrol,11000000,12100000,3872000,2662000,3280320,0,0,0,0,9814320
Mazda,Demio,DE3FS,Hatchback,2007,2014,1300,Petrol,4500000,4950000,1584000,1089000,1341360,0,0,0,0,4014360
Honda,Fit,GE6,Hatchback,2007,2013,1300,Petrol,4800000,5280000,1689600,1161600,1431936,0,0,0,0,4283136
Toyota,Premio,ZRT260,Sedan,2007,2016,1800,Petrol,8500000,9350000,2992000,2057000,2534040,0,0,0,0,7583040


